疾病,報告年,報告週,～6か月,～12か月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10～14歳,15～19歳,20～29歳,30～39歳,40～49歳,50～59歳,60～69歳,70～79歳,80歳以上,合計,定点数,定点あたり報告数
インフルエンザ,2019,40,0,2,2,3,6,7,8,2,7,1,1,1,0,2,0,0,2,0,2,0,46,56,0.82
インフルエンザ,2019,41,0,0,2,3,3,4,11,5,5,5,7,11,0,1,0,1,2,0,1,0,61,56,1.09
インフルエンザ,2019,42,0,1,1,2,6,4,4,7,8,7,4,17,0,3,0,1,1,0,0,2,68,56,1.21
インフルエンザ,2019,43,0,2,7,7,11,14,16,17,10,18,8,36,2,2,6,8,0,0,0,0,164,56,2.93
インフルエンザ,2019,44,0,1,11,10,13,12,14,19,23,8,15,26,2,3,6,3,3,2,4,2,177,56,3.16
インフルエンザ,2019,45,0,3,11,6,11,16,16,7,17,8,13,36,2,0,3,6,2,1,2,0,160,56,2.86
インフルエンザ,2019,46,1,3,15,18,22,27,30,34,63,26,27,81,3,3,12,9,4,3,2,5,388,56,6.93
インフルエンザ,2019,47,1,8,31,22,35,57,62,50,83,79,65,207,26,4,16,29,4,12,2,3,796,56,14.21
インフルエンザ,2019,48,9,16,32,42,49,72,82,107,157,131,116,351,28,12,22,32,17,11,6,3,1295,56,23.13
インフルエンザ,2019,49,10,24,49,55,76,106,126,117,193,230,140,413,36,19,61,65,27,14,8,10,1779,56,31.77
インフルエンザ,2019,50,5,20,66,50,77,95,137,166,157,130,144,390,46,27,68,64,40,24,20,4,1730,56,30.89
インフルエンザ,2019,51,6,26,60,58,101,104,114,105,105,105,84,256,72,30,62,71,35,25,12,9,1440,56,25.71
インフルエンザ,2019,52,3,22,67,66,83,104,126,88,93,97,84,268,56,59,83,94,53,45,31,9,1531,56,27.34
