疾病,報告年,報告週,～6か月,～12か月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10～14歳,15～19歳,20～29歳,30～39歳,40～49歳,50～59歳,60～69歳,70～79歳,80歳以上,合計,定点数,定点あたり報告数
インフルエンザ,2023,45,9,14,45,53,90,100,135,138,154,166,155,495,97,64,72,86,34,27,13,10,1957,56,34.95
インフルエンザ,2023,46,9,9,50,62,86,101,126,155,182,204,199,693,131,52,78,89,30,31,14,16,2317,56,41.38
インフルエンザ,2023,47,9,19,52,91,116,157,155,190,233,280,290,1074,222,94,112,115,61,33,24,31,3358,56,59.96
インフルエンザ,2023,48,5,27,86,93,132,139,142,182,202,238,192,799,212,142,112,122,56,43,23,14,2961,56,52.88
インフルエンザ,2023,49,11,22,99,99,138,198,194,199,259,216,241,856,293,157,135,122,91,36,32,37,3435,56,61.34
インフルエンザ,2023,50,6,17,64,90,113,135,124,107,145,155,151,494,176,114,114,83,54,38,20,26,2226,56,39.75
インフルエンザ,2023,51,5,21,69,69,81,95,93,84,81,97,85,350,123,115,75,96,78,39,19,23,1698,56,30.32
インフルエンザ,2023,52,4,13,57,47,55,66,53,48,48,42,52,153,92,108,71,68,54,32,20,23,1106,55,20.11
COVID-19,2023,19,2,3,5,2,4,4,3,3,3,2,3,26,9,20,16,12,16,8,8,11,160,53,3.02
COVID-19,2023,20,1,2,14,1,4,2,4,1,6,4,3,19,9,18,19,22,19,17,11,8,184,53,3.47
COVID-19,2023,21,3,3,4,2,2,2,2,2,3,5,5,20,16,26,28,27,25,19,18,9,221,53,4.17
COVID-19,2023,22,3,3,9,9,3,3,8,2,3,3,4,36,21,38,23,17,45,31,21,18,300,53,5.66
COVID-19,2023,23,5,6,3,5,4,0,2,5,1,7,7,42,20,46,32,33,31,27,19,20,315,53,5.94
COVID-19,2023,24,1,11,11,3,1,4,4,5,6,8,11,39,26,51,42,31,42,25,16,20,357,53,6.74
COVID-19,2023,25,4,5,6,5,5,2,2,0,2,6,4,31,22,34,31,25,41,15,28,8,276,53,5.21
COVID-19,2023,26,4,4,6,3,4,5,0,3,3,2,8,26,28,45,37,47,43,17,18,15,318,53,6.00
COVID-19,2023,27,4,4,8,7,9,0,4,1,4,6,7,33,28,52,34,43,34,35,28,20,361,53,6.81
COVID-19,2023,28,4,8,5,5,2,5,4,3,2,6,4,52,104,47,36,41,49,36,27,17,457,53,8.62
COVID-19,2023,29,8,8,14,6,1,4,2,3,8,6,5,62,71,82,57,56,57,26,38,21,535,53,10.09
COVID-19,2023,30,6,19,14,9,7,5,3,4,4,8,14,79,33,67,60,66,61,58,39,24,580,56,10.36
COVID-19,2023,31,8,13,23,14,13,9,7,3,10,7,12,78,27,92,73,82,79,58,52,31,691,56,12.34
COVID-19,2023,32,6,10,26,10,3,10,12,4,6,11,7,51,18,66,83,79,85,61,41,50,639,56,11.41
COVID-19,2023,33,19,20,27,12,17,14,10,6,10,14,19,100,53,160,143,134,153,82,92,63,1148,56,20.50
COVID-19,2023,34,10,22,43,30,22,34,15,20,25,23,11,114,52,114,85,113,101,80,79,90,1083,55,19.69
COVID-19,2023,35,28,25,48,35,25,27,38,29,23,38,40,182,44,84,105,118,126,72,83,63,1233,55,22.42
COVID-19,2023,36,22,17,49,29,37,23,26,22,25,34,36,154,46,82,76,93,93,88,80,49,1081,56,19.30
COVID-19,2023,37,11,22,39,28,12,17,21,16,26,43,35,178,57,59,68,75,73,67,75,50,972,56,17.36
COVID-19,2023,38,7,12,14,11,17,10,4,8,13,24,17,126,25,55,48,57,64,36,50,34,632,56,11.29
COVID-19,2023,39,7,13,16,13,13,7,8,20,14,21,17,140,31,47,50,68,58,43,40,34,660,56,11.79
COVID-19,2023,40,4,8,11,7,13,8,10,13,10,11,16,158,43,46,41,35,43,26,37,27,567,56,10.13
COVID-19,2023,41,4,5,8,4,5,5,2,4,5,6,4,54,23,37,32,44,40,31,26,32,371,56,6.63
COVID-19,2023,42,4,11,7,2,3,5,6,2,5,2,8,71,27,33,38,38,30,35,36,40,403,56,7.20
COVID-19,2023,43,2,7,7,4,4,4,4,4,6,5,5,60,28,25,20,32,36,31,37,32,353,56,6.30
COVID-19,2023,44,4,5,2,11,2,9,1,3,4,1,6,47,17,30,44,45,40,22,38,31,362,56,6.46
COVID-19,2023,45,5,6,6,5,3,1,3,1,3,2,1,18,13,35,29,42,37,30,31,30,301,56,5.38
COVID-19,2023,46,2,3,8,6,2,2,2,2,1,3,3,29,12,20,17,30,25,16,28,23,234,56,4.18
COVID-19,2023,47,4,6,10,4,4,6,6,4,5,8,6,28,11,21,31,19,30,20,27,21,271,56,4.84
COVID-19,2023,48,0,10,8,8,5,10,3,4,3,4,5,28,19,22,34,43,25,23,22,20,296,56,5.29
COVID-19,2023,49,6,4,8,7,10,13,8,9,5,11,7,33,17,24,25,28,38,29,27,32,341,56,6.09
COVID-19,2023,50,4,4,10,3,13,3,8,2,8,6,8,34,25,31,34,43,36,40,28,35,375,56,6.70
COVID-19,2023,51,5,11,21,10,15,9,9,8,9,6,10,60,33,60,65,44,59,44,50,44,572,56,10.21
COVID-19,2023,52,7,10,16,11,13,7,6,13,18,12,4,49,27,84,62,78,80,59,46,42,644,55,11.71
